Total Number of Medical Graduates,Passing Years,Country of Medical Graduates
27328.0,2020,United States
28337.0,2021,United States
1248.0,2010,Chile
1193.0,2011,Chile
1632.0,2012,Chile
1294.0,2013,Chile
1537.0,2014,Chile
1693.0,2015,Chile
1644.0,2016,Chile
1597.0,2017,Chile
1637.0,2018,Chile
1745.0,2019,Chile
1768.0,2020,Chile
500.0,2021,Chile
2536.0,2022,Chile
149.0,2010,Estonia
125.0,2011,Estonia
136.0,2012,Estonia
128.0,2013,Estonia
139.0,2014,Estonia
133.0,2015,Estonia
145.0,2016,Estonia
151.0,2017,Estonia
136.0,2018,Estonia
138.0,2019,Estonia
138.0,2020,Estonia
157.0,2021,Estonia
164.0,2022,Estonia
314.0,2010,Israel
377.0,2011,Israel
304.0,2012,Israel
408.0,2013,Israel
517.0,2014,Israel
458.0,2015,Israel
578.0,2016,Israel
601.0,2017,Israel
658.0,2018,Israel
654.0,2019,Israel
639.0,2020,Israel
637.0,2021,Israel
273.0,2021,Slovenia
40.63,2011,Australia
42.24,2012,Australia
45.82,2013,Australia
44.4,2014,Australia
44.93,2015,Australia
44.58,2016,Australia
42.03,2017,Australia
42.28,2018,Australia
41.45,2019,Australia
38.29,2020,Australia
38.23,2021,Australia
43.22,2010,Austria
36.24,2011,Austria
34.4,2012,Austria
27.79,2013,Austria
29.35,2014,Austria
28.67,2015,Austria
27.3,2016,Austria
27.51,2017,Austria
29.19,2018,Austria
26.43,2019,Austria
27.16,2020,Austria
30.04,2021,Austria
30.8,2010,Belgium
34.96,2011,Belgium
36.22,2012,Belgium
35.64,2013,Belgium
38.65,2014,Belgium
39.95,2015,Belgium
46.33,2016,Belgium
48.02,2017,Belgium
91.77,2018,Belgium
55.58,2019,Belgium
51.69,2020,Belgium
50.44,2021,Belgium
31.58,2010,Canada
31.28,2011,Canada
31.6,2012,Canada
30.76,2013,Canada
31.45,2014,Canada
30.82,2015,Canada
30.08,2016,Canada
28.92,2017,Canada
28.43,2018,Canada
27.77,2019,Canada
27.72,2020,Canada
26.98,2021,Canada
38.71,2010,Czechia
38.25,2011,Czechia
41.19,2012,Czechia
34.51,2013,Czechia
39.61,2018,Czechia
39.59,2019,Czechia
40.42,2020,Czechia
40.03,2021,Czechia
44.12,2010,Denmark
44.96,2011,Denmark
40.32,2012,Denmark
39.24,2013,Denmark
37.29,2014,Denmark
43.38,2015,Denmark
53.7,2016,Denmark
54.07,2017,Denmark
54.92,2018,Denmark
49.92,2019,Denmark
50.31,2020,Denmark
38.41,2010,Finland
33.2,2011,Finland
34.18,2012,Finland
31.09,2013,Finland
34.42,2014,Finland
33.42,2015,Finland
35.15,2016,Finland
30.07,2017,Finland
33.54,2018,Finland
33.36,2019,Finland
33.75,2020,Finland
19.01,2010,France
22.02,2011,France
23.46,2012,France
24.8,2013,France
26.17,2014,France
29.15,2015,France
30.32,2016,France
34.53,2017,France
30.33,2018,France
31.47,2019,France
37.65,2020,France
32.58,2010,Germany
30.76,2011,Germany
30.21,2012,Germany
30.12,2013,Germany
28.85,2014,Germany
27.25,2015,Germany
27.98,2016,Germany
28.27,2017,Germany
26.76,2018,Germany
28.01,2019,Germany
26.93,2020,Germany
27.38,2021,Germany
16.21,2010,Greece
17.09,2011,Greece
15.93,2012,Greece
16.03,2013,Greece
15.18,2014,Greece
18.19,2015,Greece
16.69,2016,Greece
20.45,2017,Greece
20.52,2018,Greece
21.94,2019,Greece
22.13,2020,Greece
36.25,2010,Hungary
38.92,2011,Hungary
44.84,2012,Hungary
44.25,2013,Hungary
41.08,2014,Hungary
43.27,2015,Hungary
44.04,2016,Hungary
43.33,2017,Hungary
47.16,2018,Hungary
45.11,2019,Hungary
50.05,2020,Hungary
49.15,2021,Hungary
38.53,2010,Iceland
39.36,2011,Iceland
42.91,2012,Iceland
34.25,2013,Iceland
44.43,2014,Iceland
33.63,2015,Iceland
41.02,2016,Iceland
37.59,2017,Iceland
34.96,2018,Iceland
29.2,2019,Iceland
60.42,2011,Ireland
62.73,2012,Ireland
75.28,2013,Ireland
71.92,2014,Ireland
75.48,2015,Ireland
76.56,2016,Ireland
76.37,2017,Ireland
78.56,2018,Ireland
74.85,2019,Ireland
73.59,2020,Ireland
64.67,2021,Ireland
29.74,2010,Italy
28.94,2011,Italy
28.77,2012,Italy
28.55,2013,Italy
29.59,2014,Italy
32.17,2015,Italy
33.52,2016,Italy
37.76,2017,Italy
42.15,2018,Italy
43.44,2019,Italy
47.14,2020,Italy
44.45,2021,Italy
26.87,2010,Japan
25.68,2012,Japan
25.5,2014,Japan
27.68,2016,Japan
27.75,2018,Japan
26.75,2020,Japan
40.97,2010,Korea
38.75,2011,Korea
38.35,2012,Korea
35.86,2013,Korea
35.41,2014,Korea
33.77,2015,Korea
33.09,2016,Korea
32.31,2017,Korea
31.32,2018,Korea
30.07,2019,Korea
28.78,2020,Korea
28.36,2021,Korea
57.16,2010,Mexico
56.16,2011,Mexico
56.52,2012,Mexico
47.15,2013,Mexico
48.16,2014,Mexico
47.07,2015,Mexico
53.47,2016,Mexico
55.79,2017,Mexico
50.15,2018,Mexico
56.26,2019,Mexico
48.25,2020,Mexico
59.6,2021,Mexico
42.42,2014,Netherlands
41.93,2015,Netherlands
43.33,2016,Netherlands
44.22,2017,Netherlands
42.98,2018,Netherlands
40.23,2019,Netherlands
37.26,2020,Netherlands
39.64,2021,Netherlands
27.78,2010,New Zealand
30.17,2011,New Zealand
29.08,2012,New Zealand
30.15,2013,New Zealand
30.01,2014,New Zealand
28.53,2015,New Zealand
30.23,2016,New Zealand
27.91,2017,New Zealand
29.22,2018,New Zealand
29.32,2019,New Zealand
30.26,2020,New Zealand
30.1,2021,New Zealand
27.39,2010,Norway
27.38,2011,Norway
29.15,2012,Norway
26.42,2013,Norway
24.92,2014,Norway
25.1,2015,Norway
24.18,2016,Norway
23.45,2017,Norway
21.0,2018,Norway
22.81,2019,Norway
21.45,2020,Norway
19.87,2021,Norway
37.03,2010,Poland
39.76,2011,Poland
41.74,2012,Poland
44.07,2013,Poland
42.07,2014,Poland
43.96,2015,Poland
43.42,2016,Poland
46.04,2017,Poland
44.74,2018,Poland
36.27,2019,Poland
36.79,2020,Poland
39.01,2021,Poland
31.03,2010,Portugal
30.6,2011,Portugal
32.33,2012,Portugal
32.01,2013,Portugal
33.76,2014,Portugal
34.36,2015,Portugal
34.27,2016,Portugal
32.34,2017,Portugal
33.23,2018,Portugal
29.76,2019,Portugal
28.65,2020,Portugal
28.98,2021,Portugal
35.06,2010,Slovak Republic
38.32,2011,Slovak Republic
40.4,2012,Slovak Republic
47.02,2013,Slovak Republic
39.41,2014,Slovak Republic
45.3,2015,Slovak Republic
46.17,2016,Slovak Republic
49.33,2017,Slovak Republic
50.16,2018,Slovak Republic
50.58,2019,Slovak Republic
53.98,2020,Slovak Republic
52.08,2021,Slovak Republic
24.56,2010,Spain
23.42,2011,Spain
24.92,2012,Spain
26.85,2013,Spain
31.53,2014,Spain
33.89,2015,Spain
35.03,2016,Spain
37.36,2017,Spain
35.42,2018,Spain
31.67,2019,Spain
30.45,2020,Spain
31.58,2021,Spain
27.14,2010,Sweden
27.52,2011,Sweden
29.95,2012,Sweden
25.43,2013,Sweden
27.39,2014,Sweden
29.73,2015,Sweden
28.31,2016,Sweden
29.83,2017,Sweden
30.34,2018,Sweden
31.43,2019,Sweden
31.42,2020,Sweden
27.28,2010,Switzerland
24.53,2011,Switzerland
24.97,2012,Switzerland
24.05,2013,Switzerland
25.54,2014,Switzerland
25.72,2015,Switzerland
24.87,2016,Switzerland
26.04,2017,Switzerland
26.94,2018,Switzerland
27.27,2019,Switzerland
29.41,2020,Switzerland
28.2,2021,Switzerland
41.62,2010,Türkiye
39.52,2011,Türkiye
38.14,2012,Türkiye
38.66,2013,Türkiye
38.16,2014,Türkiye
48.82,2015,Türkiye
52.83,2016,Türkiye
56.87,2017,Türkiye
61.35,2018,Türkiye
67.5,2019,Türkiye
69.54,2020,Türkiye
72.12,2021,Türkiye
51.07,2010,United Kingdom
49.64,2011,United Kingdom
51.47,2012,United Kingdom
48.57,2013,United Kingdom
49.0,2014,United Kingdom
49.1,2015,United Kingdom
46.51,2016,United Kingdom
46.26,2017,United Kingdom
45.4,2018,United Kingdom
44.36,2019,United Kingdom
42.99,2020,United Kingdom
41.32,2021,United Kingdom
42.51,2022,United Kingdom
27.2,2010,United States
28.03,2011,United States
27.78,2012,United States
28.35,2013,United States
28.12,2014,United States
29.04,2015,United States
29.2,2016,United States
29.77,2017,United States
30.5,2018,United States
30.75,2019,United States
31.32,2020,United States
31.99,2021,United States
51.03,2010,Chile
43.66,2011,Chile
53.68,2012,Chile
39.16,2013,Chile
42.68,2014,Chile
43.88,2015,Chile
39.36,2016,Chile
35.42,2017,Chile
33.73,2018,Chile
34.6,2019,Chile
32.62,2020,Chile
8.63,2021,Chile
40.81,2022,Chile
34.5,2010,Estonia
28.59,2011,Estonia
31.31,2012,Estonia
29.12,2013,Estonia
31.46,2014,Estonia
29.61,2015,Estonia
31.88,2016,Estonia
33.05,2017,Estonia
29.53,2018,Estonia
29.98,2019,Estonia
29.83,2020,Estonia
34.37,2021,Estonia
13.7,2010,Israel
16.17,2011,Israel
12.94,2012,Israel
17.2,2013,Israel
21.11,2014,Israel
17.8,2015,Israel
21.93,2016,Israel
21.97,2017,Israel
22.99,2018,Israel
21.94,2019,Israel
20.93,2020,Israel
20.29,2021,Israel
38.73,2021,Slovenia
12.08,2010,Australia
13.48,2011,Australia
13.98,2012,Australia
15.45,2013,Australia
15.31,2014,Australia
15.75,2015,Australia
15.95,2016,Australia
15.45,2017,Australia
15.85,2018,Australia
15.87,2019,Australia
14.96,2020,Australia
15.36,2021,Australia
20.64,2010,Austria
17.47,2011,Austria
16.76,2012,Austria
13.8,2013,Austria
14.73,2014,Austria
14.52,2015,Austria
13.94,2016,Austria
14.19,2017,Austria
15.23,2018,Austria
13.99,2019,Austria
14.44,2020,Austria
16.25,2021,Austria
8.99,2010,Belgium
10.19,2011,Belgium
10.62,2012,Belgium
10.54,2013,Belgium
11.5,2014,Belgium
12.05,2015,Belgium
14.24,2016,Belgium
14.8,2017,Belgium
28.72,2018,Belgium
17.58,2019,Belgium
16.61,2020,Belgium
16.38,2021,Belgium
15.78,2022,Belgium
7.2,2010,Canada
7.36,2011,Canada
7.61,2012,Canada
7.58,2013,Canada
7.89,2014,Canada
7.88,2015,Canada
7.88,2016,Canada
7.69,2017,Canada
7.72,2018,Canada
7.6,2019,Canada
7.56,2020,Canada
7.48,2021,Canada
13.92,2010,Czechia
13.91,2011,Czechia
15.14,2012,Czechia
12.73,2013,Czechia
13.99,2014,Czechia
13.56,2015,Czechia
15.1,2016,Czechia
17.13,2017,Czechia
15.99,2018,Czechia
16.1,2019,Czechia
16.55,2020,Czechia
17.04,2021,Czechia
16.44,2010,Denmark
17.04,2011,Denmark
15.47,2012,Denmark
15.1,2013,Denmark
14.46,2014,Denmark
17.05,2015,Denmark
21.47,2016,Denmark
22.22,2017,Denmark
23.04,2018,Denmark
21.22,2019,Denmark
22.02,2020,Denmark
12.23,2010,Finland
10.82,2011,Finland
11.16,2012,Finland
10.37,2013,Finland
11.65,2014,Finland
11.41,2015,Finland
12.03,2016,Finland
10.42,2017,Finland
11.69,2018,Finland
11.9,2019,Finland
12.19,2020,Finland
12.67,2021,Finland
5.77,2010,France
6.73,2011,France
7.21,2012,France
7.66,2013,France
8.09,2014,France
9.05,2015,France
9.46,2016,France
10.84,2017,France
9.51,2018,France
9.95,2019,France
11.94,2020,France
12.1,2010,Germany
11.92,2011,Germany
11.92,2012,Germany
12.15,2013,Germany
11.85,2014,Germany
11.28,2015,Germany
11.71,2016,Germany
12.01,2017,Germany
11.53,2018,Germany
12.32,2019,Germany
12.03,2020,Germany
12.4,2021,Germany
9.33,2010,Greece
9.87,2011,Greece
9.21,2012,Greece
9.32,2013,Greece
8.91,2014,Greece
10.74,2015,Greece
10.22,2016,Greece
12.4,2017,Greece
12.52,2018,Greece
13.51,2019,Greece
13.69,2020,Greece
10.4,2010,Hungary
11.51,2011,Hungary
13.85,2012,Hungary
14.2,2013,Hungary
13.65,2014,Hungary
13.4,2015,Hungary
14.14,2016,Hungary
14.41,2017,Hungary
15.96,2018,Hungary
15.76,2019,Hungary
15.71,2020,Hungary
16.21,2021,Hungary
13.83,2010,Iceland
13.79,2011,Iceland
15.28,2012,Iceland
12.35,2013,Iceland
16.19,2014,Iceland
12.7,2015,Iceland
15.8,2016,Iceland
14.56,2017,Iceland
13.61,2018,Iceland
11.37,2019,Iceland
17.21,2010,Ireland
16.11,2011,Ireland
16.98,2012,Ireland
20.13,2013,Ireland
21.66,2014,Ireland
23.54,2015,Ireland
24.44,2016,Ireland
24.88,2017,Ireland
25.76,2018,Ireland
24.83,2019,Ireland
25.43,2020,Ireland
26.03,2021,Ireland
11.36,2010,Italy
11.28,2011,Italy
11.14,2012,Italy
11.13,2013,Italy
11.48,2014,Italy
12.35,2015,Italy
13.25,2016,Italy
15.07,2017,Italy
16.76,2018,Italy
17.6,2019,Italy
18.86,2020,Italy
18.24,2021,Italy
5.95,2010,Japan
5.97,2011,Japan
5.88,2012,Japan
6.0,2013,Japan
6.01,2014,Japan
6.39,2015,Japan
6.72,2016,Japan
6.84,2017,Japan
6.92,2018,Japan
7.14,2019,Japan
6.94,2020,Japan
7.18,2021,Japan
7.32,2022,Japan
8.13,2010,Korea
7.87,2011,Korea
7.95,2012,Korea
7.74,2013,Korea
7.79,2014,Korea
7.57,2015,Korea
7.59,2016,Korea
7.59,2017,Korea
7.48,2018,Korea
7.39,2019,Korea
7.22,2020,Korea
7.26,2021,Korea
,2010,Luxembourg
,2011,Luxembourg
,2012,Luxembourg
,2013,Luxembourg
,2014,Luxembourg
,2015,Luxembourg
,2016,Luxembourg
,2017,Luxembourg
,2018,Luxembourg
,2019,Luxembourg
,2020,Luxembourg
,2021,Luxembourg
,2022,Luxembourg
11.46,2010,Mexico
11.83,2011,Mexico
11.97,2012,Mexico
10.2,2013,Mexico
10.76,2014,Mexico
10.99,2015,Mexico
12.49,2016,Mexico
13.37,2017,Mexico
12.24,2018,Mexico
13.75,2019,Mexico
11.61,2020,Mexico
14.99,2021,Mexico
13.7,2010,Netherlands
14.74,2011,Netherlands
14.74,2012,Netherlands
14.4,2013,Netherlands
14.53,2014,Netherlands
14.64,2015,Netherlands
15.33,2016,Netherlands
15.94,2017,Netherlands
15.78,2018,Netherlands
15.11,2019,Netherlands
14.33,2020,Netherlands
15.46,2021,Netherlands
7.29,2010,New Zealand
8.01,2011,New Zealand
7.89,2012,New Zealand
8.53,2013,New Zealand
8.68,2014,New Zealand
8.66,2015,New Zealand
9.42,2016,New Zealand
9.08,2017,New Zealand
9.67,2018,New Zealand
9.9,2019,New Zealand
10.37,2020,New Zealand
10.62,2021,New Zealand
11.27,2010,Norway
11.47,2011,Norway
12.33,2012,Norway
11.38,2013,Norway
11.04,2014,Norway
11.18,2015,Norway
11.08,2016,Norway
11.1,2017,Norway
10.2,2018,Norway
11.33,2019,Norway
10.91,2020,Norway
10.26,2021,Norway
8.1,2010,Poland
8.8,2011,Poland
9.32,2012,Poland
9.88,2013,Poland
9.7,2014,Poland
10.24,2015,Poland
10.49,2016,Poland
10.95,2017,Poland
10.55,2018,Poland
11.97,2019,Poland
12.24,2020,Poland
13.42,2021,Poland
11.94,2010,Portugal
12.19,2011,Portugal
13.26,2012,Portugal
13.64,2013,Portugal
14.94,2014,Portugal
15.85,2015,Portugal
16.44,2016,Portugal
16.09,2017,Portugal
17.11,2018,Portugal
15.84,2019,Portugal
15.72,2020,Portugal
16.23,2021,Portugal
11.78,2010,Slovak Republic
12.67,2011,Slovak Republic
13.59,2012,Slovak Republic
15.94,2013,Slovak Republic
13.51,2014,Slovak Republic
15.63,2015,Slovak Republic
16.04,2016,Slovak Republic
16.88,2017,Slovak Republic
17.66,2018,Slovak Republic
18.04,2019,Slovak Republic
19.8,2020,Slovak Republic
19.17,2021,Slovak Republic
9.23,2010,Spain
8.98,2011,Spain
9.53,2012,Spain
10.23,2013,Spain
11.99,2014,Spain
13.03,2015,Spain
13.39,2016,Spain
14.48,2017,Spain
14.24,2018,Spain
13.95,2019,Spain
13.93,2020,Spain
14.17,2021,Spain
10.33,2010,Sweden
10.7,2011,Sweden
11.88,2012,Sweden
10.28,2013,Sweden
11.25,2014,Sweden
12.41,2015,Sweden
11.98,2016,Sweden
12.74,2017,Sweden
13.11,2018,Sweden
13.47,2019,Sweden
13.57,2020,Sweden
14.15,2021,Sweden
10.39,2010,Switzerland
9.4,2011,Switzerland
9.78,2012,Switzerland
9.72,2013,Switzerland
10.54,2014,Switzerland
10.79,2015,Switzerland
10.57,2016,Switzerland
11.19,2017,Switzerland
11.69,2018,Switzerland
11.86,2019,Switzerland
12.91,2020,Switzerland
12.51,2021,Switzerland
7.02,2010,Türkiye
6.71,2011,Türkiye
6.58,2012,Türkiye
6.79,2013,Türkiye
6.7,2014,Türkiye
8.82,2015,Türkiye
9.65,2016,Türkiye
10.62,2017,Türkiye
11.54,2018,Türkiye
13.14,2019,Türkiye
14.28,2020,Türkiye
15.73,2021,Türkiye
13.53,2010,United Kingdom
13.33,2011,United Kingdom
13.88,2012,United Kingdom
13.18,2013,United Kingdom
13.45,2014,United Kingdom
13.61,2015,United Kingdom
12.93,2016,United Kingdom
13.01,2017,United Kingdom
12.9,2018,United Kingdom
13.07,2019,United Kingdom
13.04,2020,United Kingdom
13.12,2021,United Kingdom
13.52,2022,United Kingdom
6.62,2010,United States
6.91,2011,United States
6.95,2012,United States
7.27,2013,United States
7.25,2014,United States
7.49,2015,United States
7.56,2016,United States
7.77,2017,United States
7.95,2018,United States
8.11,2019,United States
8.24,2020,United States
8.54,2021,United States
7.31,2010,Chile
6.91,2011,Chile
9.36,2012,Chile
7.35,2013,Chile
8.64,2014,Chile
9.42,2015,Chile
9.05,2016,Chile
8.67,2017,Chile
8.73,2018,Chile
9.13,2019,Chile
9.09,2020,Chile
2.54,2021,Chile
12.79,2022,Chile
11.19,2010,Estonia
9.42,2011,Estonia
10.28,2012,Estonia
9.71,2013,Estonia
10.57,2014,Estonia
10.11,2015,Estonia
11.02,2016,Estonia
11.46,2017,Estonia
10.29,2018,Estonia
10.4,2019,Estonia
10.38,2020,Estonia
11.8,2021,Estonia
12.31,2022,Estonia
4.12,2010,Israel
4.85,2011,Israel
3.84,2012,Israel
5.06,2013,Israel
6.29,2014,Israel
5.47,2015,Israel
6.76,2016,Israel
6.9,2017,Israel
7.41,2018,Israel
7.22,2019,Israel
6.93,2020,Israel
6.8,2021,Israel
12.95,2021,Slovenia
8.53,2010,Latvia
11.26,2011,Latvia
11.5,2012,Latvia
13.46,2013,Latvia
14.04,2014,Latvia
16.18,2015,Latvia
16.33,2016,Latvia
17.35,2017,Latvia
