"Variable","Country","Year","Value"
"Male physicians under 35 years old","Finland",2019,2174
"Male physicians under 35 years old","Finland",2020,2252
"Male physicians under 35 years old","France",2010,6353
"Male physicians under 35 years old","France",2011,7089
"Male physicians under 35 years old","France",2012,7141
"Male physicians under 35 years old","France",2013,7423
"Male physicians under 35 years old","France",2014,7951
"Male physicians under 35 years old","France",2015,8452
"Male physicians under 35 years old","France",2016,9210
"Male physicians under 35 years old","France",2017,10152
"Male physicians under 35 years old","France",2018,11056
"Male physicians under 35 years old","France",2019,12260
"Male physicians under 35 years old","France",2020,12937
"Male physicians under 35 years old","France",2021,13491
"Male physicians under 35 years old","Germany",2010,23353
"Male physicians under 35 years old","Germany",2011,23900
"Male physicians under 35 years old","Germany",2012,23866
"Male physicians under 35 years old","Germany",2013,25382
"Male physicians under 35 years old","Germany",2014,26572
"Male physicians under 35 years old","Germany",2015,27564
"Male physicians under 35 years old","Germany",2016,28714
"Male physicians under 35 years old","Germany",2017,29815
"Male physicians under 35 years old","Germany",2018,30704
"Male physicians under 35 years old","Germany",2019,31619
"Male physicians under 35 years old","Germany",2020,32465
"Male physicians under 35 years old","Germany",2021,32726
"Male physicians under 35 years old","Greece",2010,8208
"Male physicians under 35 years old","Greece",2011,6383
"Male physicians under 35 years old","Greece",2012,6014
"Male physicians under 35 years old","Greece",2013,5398
"Male physicians under 35 years old","Greece",2014,4596
"Male physicians under 35 years old","Greece",2015,4757
"Male physicians under 35 years old","Greece",2016,4693
"Male physicians under 35 years old","Greece",2017,4598
"Male physicians under 35 years old","Greece",2018,5019
"Male physicians under 35 years old","Greece",2019,4829
"Male physicians under 35 years old","Greece",2020,5417
"Male physicians under 35 years old","Greece",2021,5831
"Male physicians under 35 years old","Hungary",2010,1808
"Male physicians under 35 years old","Hungary",2011,1773
"Male physicians under 35 years old","Hungary",2012,1873
"Male physicians under 35 years old","Hungary",2013,2305
"Male physicians under 35 years old","Hungary",2014,2143
"Male physicians under 35 years old","Hungary",2015,2348
"Male physicians under 35 years old","Hungary",2016,2387
"Male physicians under 35 years old","Hungary",2017,2494
"Male physicians under 35 years old","Hungary",2018,2638
"Male physicians under 35 years old","Hungary",2019,2774
"Male physicians under 35 years old","Hungary",2020,2873
"Male physicians under 35 years old","Hungary",2021,2929
"Male physicians under 35 years old","Iceland",2010,70
"Male physicians under 35 years old","Iceland",2011,57
"Male physicians under 35 years old","Iceland",2012,61
"Male physicians under 35 years old","Iceland",2013,67
"Male physicians under 35 years old","Iceland",2014,68
"Male physicians under 35 years old","Iceland",2015,86
"Male physicians under 35 years old","Iceland",2016,72
"Male physicians under 35 years old","Iceland",2017,92
"Male physicians under 35 years old","Iceland",2018,109
"Male physicians under 35 years old","Iceland",2019,115
"Male physicians under 35 years old","Iceland",2020,169
"Male physicians under 35 years old","Iceland",2021,165
"Male physicians under 35 years old","Iceland",2022,175
"Male physicians under 35 years old","Ireland",2011,2617
"Male physicians under 35 years old","Ireland",2012,2377
"Male physicians under 35 years old","Ireland",2013,2245
"Male physicians under 35 years old","Ireland",2014,1551
"Male physicians under 35 years old","Ireland",2015,1797
"Male physicians under 35 years old","Ireland",2016,1939
"Male physicians under 35 years old","Ireland",2017,2053
"Male physicians under 35 years old","Ireland",2018,2058
"Male physicians under 35 years old","Ireland",2019,2349
"Male physicians under 35 years old","Ireland",2020,2454
"Male physicians under 35 years old","Ireland",2021,3373
"Male physicians under 35 years old","Italy",2010,16576
"Male physicians under 35 years old","Italy",2011,18187
"Male physicians under 35 years old","Italy",2012,7152
"Male physicians under 35 years old","Italy",2013,7208
"Male physicians under 35 years old","Italy",2014,7016
"Male physicians under 35 years old","Italy",2015,6991
"Male physicians under 35 years old","Italy",2016,7561
"Male physicians under 35 years old","Italy",2017,7921
"Male physicians under 35 years old","Italy",2018,8168
"Male physicians under 35 years old","Italy",2019,8670
"Male physicians under 35 years old","Italy",2020,8624
"Male physicians under 35 years old","Italy",2021,10336
"Male physicians under 35 years old","Italy",2022,12294
"Male physicians under 35 years old","Japan",2010,38457
"Male physicians under 35 years old","Japan",2012,38922
"Male physicians under 35 years old","Japan",2014,39157
"Male physicians under 35 years old","Japan",2016,40428
"Male physicians under 35 years old","Japan",2018,41036
"Male physicians under 35 years old","Japan",2020,42919
"Male physicians under 35 years old","Korea",2010,18615
"Male physicians under 35 years old","Korea",2011,18052
"Male physicians under 35 years old","Korea",2012,17782
"Male physicians under 35 years old","Korea",2013,18333
"Male physicians under 35 years old","Korea",2014,17419
"Male physicians under 35 years old","Korea",2015,16699
"Male physicians under 35 years old","Korea",2016,16069
"Male physicians under 35 years old","Korea",2017,15421
"Male physicians under 35 years old","Korea",2018,14972
"Male physicians under 35 years old","Korea",2019,14888
"Male physicians under 35 years old","Korea",2020,14658
"Male physicians under 35 years old","Korea",2021,14240
"Male physicians under 35 years old","Luxembourg",2010,29
"Male physicians under 35 years old","Luxembourg",2011,37
"Male physicians under 35 years old","Luxembourg",2012,36
"Male physicians under 35 years old","Luxembourg",2013,27
"Male physicians under 35 years old","Luxembourg",2014,22
"Male physicians under 35 years old","Luxembourg",2015,26
"Male physicians under 35 years old","Luxembourg",2016,32
"Male physicians under 35 years old","Luxembourg",2017,34
"Male physicians under 35 years old","Mexico",2015,40816
"Male physicians under 35 years old","Mexico",2016,35707,
"Male physicians under 35 years old","Netherlands",2010,4374
"Male physicians under 35 years old","Netherlands",2011,4699
"Male physicians under 35 years old","Netherlands",2012,4830
"Male physicians under 35 years old","Netherlands",2013,4940
"Male physicians under 35 years old","Netherlands",2014,5142
"Male physicians under 35 years old","Netherlands",2015,5333
"Male physicians under 35 years old","Netherlands",2016,5534
"Male physicians under 35 years old","Netherlands",2017,5791
"Male physicians under 35 years old","Netherlands",2018,6288
"Male physicians under 35 years old","Netherlands",2019,6496
"Male physicians under 35 years old","Netherlands",2020,6586
"Male physicians under 35 years old","Netherlands",2021,6548
"Male physicians under 35 years old","New Zealand",2010,1654
"Male physicians under 35 years old","New Zealand",2011,1750
"Male physicians under 35 years old","New Zealand",2012,1727
"Male physicians under 35 years old","New Zealand",2013,1824
"Male physicians under 35 years old","New Zealand",2014,1790
"Male physicians under 35 years old","New Zealand",2015,1889
"Male physicians under 35 years old","New Zealand",2016,2031
"Male physicians under 35 years old","New Zealand",2017,2134
"Male physicians under 35 years old","New Zealand",2018,2309
"Male physicians under 35 years old","New Zealand",2019,2455
"Male physicians under 35 years old","New Zealand",2020,2360
"Male physicians under 35 years old","New Zealand",2021,2369
"Male physicians under 35 years old","New Zealand",2022,2406
"Male physicians under 35 years old","Norway",2010,2089
"Male physicians under 35 years old","Norway",2011,2166
"Male physicians under 35 years old","Norway",2012,2267
"Male physicians under 35 years old","Norway",2013,2363
"Male physicians under 35 years old","Norway",2014,2355
"Male physicians under 35 years old","Norway",2015,2365
"Male physicians under 35 years old","Norway",2016,2464
"Male physicians under 35 years old","Norway",2017,2562
"Male physicians under 35 years old","Norway",2018,2599
"Male physicians under 35 years old","Norway",2019,2595
"Male physicians under 35 years old","Norway",2020,2590
"Male physicians under 35 years old","Norway",2021,2522
"Male physicians under 35 years old","Poland",2019,10077
"Male physicians under 35 years old","Poland",2020,10698
"Male physicians under 35 years old","Poland",2021,12041
"Male physicians under 35 years old","Slovak Republic",2010,1399
"Male physicians under 35 years old","Slovak Republic",2011,1331
"Male physicians under 35 years old","Slovak Republic",2012,1324
"Male physicians under 35 years old","Slovak Republic",2013,1428
"Male physicians under 35 years old","Slovak Republic",2014,1407
"Male physicians under 35 years old","Slovak Republic",2015,1465
"Male physicians under 35 years old","Slovak Republic",2016,1527
"Male physicians under 35 years old","Slovak Republic",2017,1503
"Male physicians under 35 years old","Slovak Republic",2018,1554
"Male physicians under 35 years old","Slovak Republic",2019,1571
"Male physicians under 35 years old","Slovak Republic",2020,1605
"Male physicians under 35 years old","Slovak Republic",2021,1622
"Male physicians under 35 years old","Spain",2010,15800
"Male physicians under 35 years old","Spain",2011,16467
"Male physicians under 35 years old","Spain",2012,14467
"Male physicians under 35 years old","Spain",2013,12233
"Male physicians under 35 years old","Spain",2014,10800
"Male physicians under 35 years old","Spain",2015,10500
"Male physicians under 35 years old","Spain",2016,10333
"Male physicians under 35 years old","Spain",2017,10867
"Male physicians under 35 years old","Spain",2018,12133
"Male physicians under 35 years old","Spain",2019,14133
"Male physicians under 35 years old","Spain",2020,15333
"Male physicians under 35 years old","Spain",2021,15800
"Male physicians under 35 years old","Sweden",2010,2595
"Male physicians under 35 years old","Sweden",2011,2690
"Male physicians under 35 years old","Sweden",2012,2857
"Male physicians under 35 years old","Sweden",2013,3017
"Male physicians under 35 years old","Sweden",2014,3217
"Male physicians under 35 years old","Sweden",2015,3404
"Male physicians under 35 years old","Sweden",2016,3695
"Male physicians under 35 years old","Sweden",2017,3860
"Male physicians under 35 years old","Sweden",2018,4061
"Male physicians under 35 years old","Sweden",2019,4244
"Male physicians under 35 years old","Sweden",2020,4433
"Male physicians under 35 years old","Switzerland",2010,1464
"Male physicians under 35 years old","Switzerland",2011,1427
"Male physicians under 35 years old","Switzerland",2012,1380
"Male physicians under 35 years old","Switzerland",2013,1423
"Male physicians under 35 years old","Switzerland",2014,1542
"Male physicians under 35 years old","Switzerland",2015,1629
"Male physicians under 35 years old","Switzerland",2016,1675
"Male physicians under 35 years old","Switzerland",2017,1777
"Male physicians under 35 years old","Switzerland",2018,1823
"Male physicians under 35 years old","Switzerland",2019,1787
"Male physicians under 35 years old","Switzerland",2020,1814
"Male physicians under 35 years old","Switzerland",2021,1811
"Male physicians under 35 years old","Türkiye",2010,21226
"Male physicians under 35 years old","Türkiye",2011,21670
"Male physicians under 35 years old","Türkiye",2012,22314
"Male physicians under 35 years old","Türkiye",2013,23002
"Male physicians under 35 years old","Türkiye",2014,23319
"Male physicians under 35 years old","Türkiye",2015,24289
"Male physicians under 35 years old","Türkiye",2016,24903
"Male physicians under 35 years old","Türkiye",2017,25792
"Male physicians under 35 years old","Türkiye",2018,26331
"Male physicians under 35 years old","Türkiye",2019,28424
"Male physicians under 35 years old","Türkiye",2020,31804
"Male physicians under 35 years old","Türkiye",2021,36014
"Male physicians under 35 years old","United Kingdom",2010,24994
"Male physicians under 35 years old","United Kingdom",2011,24383
"Male physicians under 35 years old","United Kingdom",2012,23835
"Male physicians under 35 years old","United Kingdom",2013,23985
"Male physicians under 35 years old","United Kingdom",2014,24299
"Male physicians under 35 years old","United Kingdom",2015,24111
"Male physicians under 35 years old","United Kingdom",2016,24639
"Male physicians under 35 years old","United Kingdom",2017,25415
"Male physicians under 35 years old","United Kingdom",2018,26217
"Male physicians under 35 years old","United Kingdom",2019,28660
"Male physicians under 35 years old","United Kingdom",2020,30768
"Male physicians under 35 years old","United Kingdom",2021,32245
"Male physicians under 35 years old","United Kingdom",2022,32352
"Male physicians under 35 years old","United States",2010,72441
"Male physicians under 35 years old","United States",2011,66702
"Male physicians under 35 years old","United States",2012,69275
"Male physicians under 35 years old","United States",2013,71867
"Male physicians under 35 years old","United States",2014,73055
"Male physicians under 35 years old","United States",2015,73865
"Male physicians under 35 years old","United States",2016,75157
"Male physicians under 35 years old","United States",2017,76494
"Male physicians under 35 years old","United States",2018,74850
"Male physicians under 35 years old","United States",2019,75333
"Male physicians under 35 years old","United States",2020,72743
"Male physicians under 35 years old","United States",2021,73361
"Male physicians under 35 years old","Chile",2010,3608
"Male physicians under 35 years old","Chile",2011,4113
"Male physicians under 35 years old","Chile",2012,4576
"Male physicians under 35 years old","Chile",2013,5504
"Male physicians under 35 years old","Chile",2014,5587
"Male physicians under 35 years old","Chile",2015,6298
"Male physicians under 35 years old","Chile",2016,6983
"Male physicians under 35 years old","Chile",2017,6979
"Male physicians under 35 years old","Chile",2018,7970
"Male physicians under 35 years old","Chile",2019,7692
"Male physicians under 35 years old","Chile",2020,8626
"Male physicians under 35 years old","Chile",2021,8941
"Male physicians under 35 years old","Chile",2022,9266
"Male physicians under 35 years old","Estonia",2013,172
"Male physicians under 35 years old","Estonia",2014,193
"Male physicians under 35 years old","Estonia",2015,220
"Male physicians under 35 years old","Estonia",2016,234
"Male physicians under 35 years old","Estonia",2017,256
"Male physicians under 35 years old","Estonia",2018,287
"Male physicians under 35 years old","Estonia",2019,296
"Male physicians under 35 years old","Estonia",2020,315
"Male physicians under 35 years old","Estonia",2021,325
"Male physicians under 35 years old","Israel",2010,1352
"Male physicians under 35 years old","Israel",2011,1460
"Male physicians under 35 years old","Israel",2012,1600
"Male physicians under 35 years old","Israel",2013,1789
"Male physicians under 35 years old","Israel",2014,2047
"Male physicians under 35 years old","Israel",2015,2307
"Male physicians under 35 years old","Israel",2016,2486
"Male physicians under 35 years old","Israel",2017,2830
"Male physicians under 35 years old","Israel",2018,3239
"Male physicians under 35 years old","Israel",2019,3616
"Male physicians under 35 years old","Israel",2020,4011
"Male physicians under 35 years old","Israel",2021,4391
"Male physicians under 35 years old","Israel",2022,4655
"Male physicians under 35 years old","Slovenia",2010,315
"Male physicians under 35 years old","Slovenia",2011,364
"Male physicians under 35 years old","Slovenia",2012,394
"Male physicians under 35 years old","Slovenia",2013,404
"Male physicians under 35 years old","Slovenia",2014,435
"Male physicians under 35 years old","Slovenia",2015,444
"Male physicians under 35 years old","Slovenia",2016,547
"Male physicians under 35 years old","Slovenia",2017,518
"Male physicians under 35 years old","Slovenia",2018,522
"Male physicians under 35 years old","Slovenia",2019,552
"Male physicians under 35 years old","Slovenia",2020,620
"Male physicians under 35 years old","Slovenia",2021,619
"Male physicians under 35 years old","Latvia",2010,169
"Male physicians under 35 years old","Latvia",2011,177
"Male physicians under 35 years old","Latvia",2012,176
"Male physicians under 35 years old","Latvia",2013,207
"Male physicians under 35 years old","Latvia",2014,217
"Male physicians under 35 years old","Latvia",2015,221
"Male physicians under 35 years old","Latvia",2016,255
"Male physicians under 35 years old","Latvia",2017,284
"Male physicians under 35 years old","Latvia",2018,344
"Male physicians under 35 years old","Latvia",2019,372
"Male physicians under 35 years old","Latvia",2020,394
"Male physicians under 35 years old","Latvia",2021,396
"Male physicians under 35 years old","Lithuania",2010,720
"Male physicians under 35 years old","Lithuania",2011,758
"Male physicians under 35 years old","Lithuania",2012,783
"Male physicians under 35 years old","Lithuania",2013,792
"Male physicians under 35 years old","Lithuania",2014,829
"Male physicians under 35 years old","Lithuania",2015,856
"Male physicians under 35 years old","Lithuania",2016,974
"Male physicians under 35 years old","Lithuania",2017,1023
"Male physicians under 35 years old","Lithuania",2018,877
"Male physicians under 35 years old","Lithuania",2019,921
"Male physicians under 35 years old","Lithuania",2020,924
"Male physicians under 35 years old","Lithuania",2021,948
"Male physicians under 35 years old","Colombia",2016,9053
"Male physicians under 35 years old","Colombia",2017,11423
"Male physicians under 35 years old","Colombia",2018,13847
"Male physicians under 35 years old","Colombia",2019,16323
"Male physicians under 35 years old","Colombia",2020,18810
"Male physicians under 35 years old","Colombia",2021,19107
"Male physicians under 35 years old","Romania",2010,4376
"Male physicians under 35 years old","Romania",2011,4604
"Male physicians under 35 years old","Romania",2012,4580
"Male physicians under 35 years old","Romania",2013,4514
"Male physicians under 35 years old","Romania",2014,4665
"Male physicians under 35 years old","Romania",2015,4569
"Male physicians under 35 years old","Romania",2016,4724
"Male physicians under 35 years old","Romania",2017,4892
"Male physicians under 35 years old","Romania",2018,5069
"Male physicians under 35 years old","Romania",2019,5432
"Male physicians under 35 years old","Romania",2020,5873
"Male physicians under 35 years old","Romania",2021,6265
"Male physicians under 35 years old","Bulgaria",2014,1085
"Male physicians under 35 years old","Bulgaria",2015,1375
"Male physicians under 35 years old","Bulgaria",2016,1508
"Male physicians under 35 years old","Bulgaria",2017,1646
"Male physicians under 35 years old","Bulgaria",2018,1776
"Male physicians under 35 years old","Bulgaria",2019,1834
"Male physicians under 35 years old","Bulgaria",2020,1974
"Male physicians under 35 years old","Bulgaria",2021,2115
"Male physicians under 35 years old","Croatia",2010,924
"Male physicians under 35 years old","Croatia",2011,965
"Male physicians under 35 years old","Croatia",2012,972
"Male physicians under 35 years old","Croatia",2013,973
"Male physicians under 35 years old","Croatia",2014,967
"Male physicians under 35 years old","Croatia",2015,1114
"Male physicians under 35 years old","Croatia",2016,1110
"Male physicians under 35 years old","Croatia",2017,1157
"Male physicians under 35 years old","Croatia",2018,1262
"Male physicians under 35 years old","Croatia",2019,1303
"Male physicians under 35 years old","Croatia",2020,1313
"Male physicians under 35 years old","Croatia",2021,1402
