"Variable","Country","Year","Value"
"Female physicians under 35 years old","Czechia",2011,4315
"Female physicians under 35 years old","Czechia",2012,4453
"Female physicians under 35 years old","Czechia",2013,4429
"Female physicians under 35 years old","Czechia",2019,6232
"Female physicians under 35 years old","Czechia",2020,6411
"Female physicians under 35 years old","Czechia",2021,6449.7
"Female physicians under 35 years old","Denmark",2010,2467
"Female physicians under 35 years old","Denmark",2011,2594
"Female physicians under 35 years old","Denmark",2012,2671
"Female physicians under 35 years old","Denmark",2013,2697
"Female physicians under 35 years old","Denmark",2014,2638
"Female physicians under 35 years old","Denmark",2015,2742
"Female physicians under 35 years old","Denmark",2016,2944
"Female physicians under 35 years old","Denmark",2017,3220
"Female physicians under 35 years old","Denmark",2018,3459
"Female physicians under 35 years old","Denmark",2019,3568
"Female physicians under 35 years old","Denmark",2020,3903
"Female physicians under 35 years old","Finland",2010,2715
"Female physicians under 35 years old","Finland",2011,2974
"Female physicians under 35 years old","Finland",2012,2891
"Female physicians under 35 years old","Finland",2013,2963
"Female physicians under 35 years old","Finland",2014,3094
"Female physicians under 35 years old","Finland",2015,3118
"Female physicians under 35 years old","Finland",2016,3109
"Female physicians under 35 years old","Finland",2017,3058
"Female physicians under 35 years old","Finland",2018,2960
"Female physicians under 35 years old","Finland",2019,2891
"Female physicians under 35 years old","Finland",2020,3000
"Female physicians under 35 years old","France",2010,9273
"Female physicians under 35 years old","France",2011,10481
"Female physicians under 35 years old","France",2012,11421
"Female physicians under 35 years old","France",2013,12488
"Female physicians under 35 years old","France",2014,14118
"Female physicians under 35 years old","France",2015,15500
"Female physicians under 35 years old","France",2016,16901
"Female physicians under 35 years old","France",2017,18485
"Female physicians under 35 years old","France",2018,19660
"Female physicians under 35 years old","France",2019,20898
"Female physicians under 35 years old","France",2020,21456
"Female physicians under 35 years old","France",2021,21537
"Female physicians under 35 years old","Germany",2010,31732
"Female physicians under 35 years old","Germany",2011,33848
"Female physicians under 35 years old","Germany",2012,34513
"Female physicians under 35 years old","Germany",2013,37321
"Female physicians under 35 years old","Germany",2014,38417
"Female physicians under 35 years old","Germany",2015,39323
"Female physicians under 35 years old","Germany",2016,40305
"Female physicians under 35 years old","Germany",2017,40867
"Female physicians under 35 years old","Germany",2018,41088
"Female physicians under 35 years old","Germany",2019,41921
"Female physicians under 35 years old","Germany",2020,42714
"Female physicians under 35 years old","Germany",2021,42766
"Female physicians under 35 years old","Greece",2010,7153
"Female physicians under 35 years old","Greece",2011,5861
"Female physicians under 35 years old","Greece",2012,5625
"Female physicians under 35 years old","Greece",2013,5461
"Female physicians under 35 years old","Greece",2014,4990
"Female physicians under 35 years old","Greece",2015,5190
"Female physicians under 35 years old","Greece",2016,5571
"Female physicians under 35 years old","Greece",2017,5243
"Female physicians under 35 years old","Greece",2018,5611
"Female physicians under 35 years old","Greece",2019,5569
"Female physicians under 35 years old","Greece",2020,6065
"Female physicians under 35 years old","Greece",2021,6534
"Female physicians under 35 years old","Hungary",2010,2882
"Female physicians under 35 years old","Hungary",2011,2882
"Female physicians under 35 years old","Hungary",2012,3106
"Female physicians under 35 years old","Hungary",2013,3769
"Female physicians under 35 years old","Hungary",2014,3531
"Female physicians under 35 years old","Hungary",2015,3855
"Female physicians under 35 years old","Hungary",2016,3994
"Female physicians under 35 years old","Hungary",2017,4134
"Female physicians under 35 years old","Hungary",2018,4338
"Female physicians under 35 years old","Hungary",2019,4521
"Female physicians under 35 years old","Hungary",2020,4650
"Female physicians under 35 years old","Hungary",2021,4792
"Female physicians under 35 years old","Iceland",2010,96
"Female physicians under 35 years old","Iceland",2011,95
"Female physicians under 35 years old","Iceland",2012,114
"Female physicians under 35 years old","Iceland",2013,120
"Female physicians under 35 years old","Iceland",2014,127
"Female physicians under 35 years old","Iceland",2015,144
"Female physicians under 35 years old","Iceland",2016,114
"Female physicians under 35 years old","Iceland",2017,137
"Female physicians under 35 years old","Iceland",2018,140
"Female physicians under 35 years old","Iceland",2019,144
"Female physicians under 35 years old","Iceland",2020,241
"Female physicians under 35 years old","Iceland",2021,276
"Female physicians under 35 years old","Iceland",2022,279
"Female physicians under 35 years old","Ireland",2011,3252
"Female physicians under 35 years old","Ireland",2012,3125
"Female physicians under 35 years old","Ireland",2013,2870
"Female physicians under 35 years old","Ireland",2014,2014
"Female physicians under 35 years old","Ireland",2015,2172
"Female physicians under 35 years old","Ireland",2016,2197
"Female physicians under 35 years old","Ireland",2017,2264
"Female physicians under 35 years old","Ireland",2018,2292
"Female physicians under 35 years old","Ireland",2019,2590
"Female physicians under 35 years old","Ireland",2020,2747
"Female physicians under 35 years old","Ireland",2021,3818
"Female physicians under 35 years old","Italy",2010,29132
"Female physicians under 35 years old","Italy",2011,32073
"Female physicians under 35 years old","Italy",2012,13254
"Female physicians under 35 years old","Italy",2013,13337
"Female physicians under 35 years old","Italy",2014,12902
"Female physicians under 35 years old","Italy",2015,12090
"Female physicians under 35 years old","Italy",2016,12816
"Female physicians under 35 years old","Italy",2017,12731
"Female physicians under 35 years old","Italy",2018,12540
"Female physicians under 35 years old","Italy",2019,12680
"Female physicians under 35 years old","Italy",2020,11824
"Female physicians under 35 years old","Italy",2021,13161
"Female physicians under 35 years old","Italy",2022,15373
"Female physicians under 35 years old","Japan",2010,19514
"Female physicians under 35 years old","Japan",2012,19689
"Female physicians under 35 years old","Japan",2014,19696
"Female physicians under 35 years old","Japan",2016,20108
"Female physicians under 35 years old","Japan",2018,20802
"Female physicians under 35 years old","Japan",2020,22066
"Female physicians under 35 years old","Korea",2010,9367
"Female physicians under 35 years old","Korea",2011,9387
"Female physicians under 35 years old","Korea",2012,9285
"Female physicians under 35 years old","Korea",2013,10074
"Female physicians under 35 years old","Korea",2014,9971
"Female physicians under 35 years old","Korea",2015,9786
"Female physicians under 35 years old","Korea",2016,9513
"Female physicians under 35 years old","Korea",2017,9292
"Female physicians under 35 years old","Korea",2018,9014
"Female physicians under 35 years old","Korea",2019,9160
"Female physicians under 35 years old","Korea",2020,9144
"Female physicians under 35 years old","Korea",2021,9042
"Female physicians under 35 years old","Luxembourg",2010,40
"Female physicians under 35 years old","Luxembourg",2011,36
"Female physicians under 35 years old","Luxembourg",2012,40
"Female physicians under 35 years old","Luxembourg",2013,45
"Female physicians under 35 years old","Luxembourg",2014,49
"Female physicians under 35 years old","Luxembourg",2015,37
"Female physicians under 35 years old","Luxembourg",2016,41
"Female physicians under 35 years old","Luxembourg",2017,51
"Female physicians under 35 years old","Mexico",2015,48037
"Female physicians under 35 years old","Mexico",2016,43264
"Female physicians under 35 years old","Netherlands",2010,8137
"Female physicians under 35 years old","Netherlands",2011,9659
"Female physicians under 35 years old","Netherlands",2012,10410
"Female physicians under 35 years old","Netherlands",2013,10901
"Female physicians under 35 years old","Netherlands",2014,11587
"Female physicians under 35 years old","Netherlands",2015,12169
"Female physicians under 35 years old","Netherlands",2016,12613
"Female physicians under 35 years old","Netherlands",2017,13222
"Female physicians under 35 years old","Netherlands",2018,13927
"Female physicians under 35 years old","Netherlands",2019,14222
"Female physicians under 35 years old","Netherlands",2020,14505
"Female physicians under 35 years old","Netherlands",2021,14351
"Female physicians under 35 years old","New Zealand",2010,1966
"Female physicians under 35 years old","New Zealand",2011,2095
"Female physicians under 35 years old","New Zealand",2012,2140
"Female physicians under 35 years old","New Zealand",2013,2206
"Female physicians under 35 years old","New Zealand",2014,2193
"Female physicians under 35 years old","New Zealand",2015,2260
"Female physicians under 35 years old","New Zealand",2016,2385
"Female physicians under 35 years old","New Zealand",2017,2533
"Female physicians under 35 years old","New Zealand",2018,2733
"Female physicians under 35 years old","New Zealand",2019,2853
"Female physicians under 35 years old","New Zealand",2020,2749
"Female physicians under 35 years old","New Zealand",2021,2824
"Female physicians under 35 years old","New Zealand",2022,2908
"Female physicians under 35 years old","Norway",2010,2984
"Female physicians under 35 years old","Norway",2011,3110
"Female physicians under 35 years old","Norway",2012,3248
"Female physicians under 35 years old","Norway",2013,3390
"Female physicians under 35 years old","Norway",2014,3557
"Female physicians under 35 years old","Norway",2015,3623
"Female physicians under 35 years old","Norway",2016,3763
"Female physicians under 35 years old","Norway",2017,3942
"Female physicians under 35 years old","Norway",2018,4087
"Female physicians under 35 years old","Norway",2019,4168
"Female physicians under 35 years old","Norway",2020,4380
"Female physicians under 35 years old","Norway",2021,4419
"Female physicians under 35 years old","Poland",2019,16940
"Female physicians under 35 years old","Poland",2020,17541
"Female physicians under 35 years old","Poland",2021,19934
"Female physicians under 35 years old","Slovak Republic",2010,2177
"Female physicians under 35 years old","Slovak Republic",2011,2198
"Female physicians under 35 years old","Slovak Republic",2012,2354
"Female physicians under 35 years old","Slovak Republic",2013,2517
"Female physicians under 35 years old","Slovak Republic",2014,2619
"Female physicians under 35 years old","Slovak Republic",2015,2684
"Female physicians under 35 years old","Slovak Republic",2016,2737
"Female physicians under 35 years old","Slovak Republic",2017,2757
"Female physicians under 35 years old","Slovak Republic",2018,2789
"Female physicians under 35 years old","Slovak Republic",2019,2817
"Female physicians under 35 years old","Slovak Republic",2020,2869
"Female physicians under 35 years old","Slovak Republic",2021,2806
"Female physicians under 35 years old","Spain",2010,28200
"Female physicians under 35 years old","Spain",2011,27233
"Female physicians under 35 years old","Spain",2012,25766
"Female physicians under 35 years old","Spain",2013,24333
"Female physicians under 35 years old","Spain",2014,24033
"Female physicians under 35 years old","Spain",2015,24233
"Female physicians under 35 years old","Spain",2016,25033
"Female physicians under 35 years old","Spain",2017,26267
"Female physicians under 35 years old","Spain",2018,28000
"Female physicians under 35 years old","Spain",2019,30633
"Female physicians under 35 years old","Spain",2020,31733
"Female physicians under 35 years old","Spain",2021,30567
"Female physicians under 35 years old","Sweden",2010,3740
"Female physicians under 35 years old","Sweden",2011,3977
"Female physicians under 35 years old","Sweden",2012,4119
"Female physicians under 35 years old","Sweden",2013,4239
"Female physicians under 35 years old","Sweden",2014,4427
"Female physicians under 35 years old","Sweden",2015,4663
"Female physicians under 35 years old","Sweden",2016,4811
"Female physicians under 35 years old","Sweden",2017,4964
"Female physicians under 35 years old","Sweden",2018,5240
"Female physicians under 35 years old","Sweden",2019,5386
"Female physicians under 35 years old","Sweden",2020,5604
"Female physicians under 35 years old","Switzerland",2010,1975
"Female physicians under 35 years old","Switzerland",2011,2031
"Female physicians under 35 years old","Switzerland",2012,2108
"Female physicians under 35 years old","Switzerland",2013,2326
"Female physicians under 35 years old","Switzerland",2014,2600
"Female physicians under 35 years old","Switzerland",2015,2699
"Female physicians under 35 years old","Switzerland",2016,2755
"Female physicians under 35 years old","Switzerland",2017,2807
"Female physicians under 35 years old","Switzerland",2018,2798
"Female physicians under 35 years old","Switzerland",2019,2719
"Female physicians under 35 years old","Switzerland",2020,2767
"Female physicians under 35 years old","Switzerland",2021,2713
"Female physicians under 35 years old","Türkiye",2010,19054
"Female physicians under 35 years old","Türkiye",2011,19453
"Female physicians under 35 years old","Türkiye",2012,20031
"Female physicians under 35 years old","Türkiye",2013,20648
"Female physicians under 35 years old","Türkiye",2014,20932
"Female physicians under 35 years old","Türkiye",2015,21800
"Female physicians under 35 years old","Türkiye",2016,22352
"Female physicians under 35 years old","Türkiye",2017,23152
"Female physicians under 35 years old","Türkiye",2018,23632
"Female physicians under 35 years old","Türkiye",2019,26325
"Female physicians under 35 years old","Türkiye",2020,30539
"Female physicians under 35 years old","Türkiye",2021,35031
"Female physicians under 35 years old","United Kingdom",2010,31200
"Female physicians under 35 years old","United Kingdom",2011,32135
"Female physicians under 35 years old","United Kingdom",2012,32636
"Female physicians under 35 years old","United Kingdom",2013,33470
"Female physicians under 35 years old","United Kingdom",2014,34027
"Female physicians under 35 years old","United Kingdom",2015,33999
"Female physicians under 35 years old","United Kingdom",2016,34020
"Female physicians under 35 years old","United Kingdom",2017,34594
"Female physicians under 35 years old","United Kingdom",2018,35198
"Female physicians under 35 years old","United Kingdom",2019,36323
"Female physicians under 35 years old","United Kingdom",2020,37968
"Female physicians under 35 years old","United Kingdom",2021,39282
"Female physicians under 35 years old","United Kingdom",2022,39389
"Female physicians under 35 years old","United States",2010,64440
"Female physicians under 35 years old","United States",2011,62272
"Female physicians under 35 years old","United States",2012,64537
"Female physicians under 35 years old","United States",2013,66838
"Female physicians under 35 years old","United States",2014,67456
"Female physicians under 35 years old","United States",2015,67543
"Female physicians under 35 years old","United States",2016,68098
"Female physicians under 35 years old","United States",2017,69519
"Female physicians under 35 years old","United States",2018,68349
"Female physicians under 35 years old","United States",2019,68846
"Female physicians under 35 years old","United States",2020,67767
"Female physicians under 35 years old","United States",2021,69963
"Female physicians under 35 years old","Chile",2010,3097
"Female physicians under 35 years old","Chile",2011,3518
"Female physicians under 35 years old","Chile",2012,4019
"Female physicians under 35 years old","Chile",2013,4851
"Female physicians under 35 years old","Chile",2014,5006
"Female physicians under 35 years old","Chile",2015,5677
"Female physicians under 35 years old","Chile",2016,6289
"Female physicians under 35 years old","Chile",2017,6470
"Female physicians under 35 years old","Chile",2018,7573
"Female physicians under 35 years old","Chile",2019,7478
"Female physicians under 35 years old","Chile",2020,8707
"Female physicians under 35 years old","Chile",2021,9244
"Female physicians under 35 years old","Chile",2022,9928
"Female physicians under 35 years old","Estonia",2013,559
"Female physicians under 35 years old","Estonia",2014,589
"Female physicians under 35 years old","Estonia",2015,614
"Female physicians under 35 years old","Estonia",2016,631
"Female physicians under 35 years old","Estonia",2017,647
"Female physicians under 35 years old","Estonia",2018,667
"Female physicians under 35 years old","Estonia",2019,659
"Female physicians under 35 years old","Estonia",2020,663
"Female physicians under 35 years old","Estonia",2021,621
"Female physicians under 35 years old","Israel",2010,1377
"Female physicians under 35 years old","Israel",2011,1437
"Female physicians under 35 years old","Israel",2012,1487
"Female physicians under 35 years old","Israel",2013,1593
"Female physicians under 35 years old","Israel",2014,1760
"Female physicians under 35 years old","Israel",2015,1929
"Female physicians under 35 years old","Israel",2016,2101
"Female physicians under 35 years old","Israel",2017,2209
"Female physicians under 35 years old","Israel",2018,2378
"Female physicians under 35 years old","Israel",2019,2548
"Female physicians under 35 years old","Israel",2020,2746
"Female physicians under 35 years old","Israel",2021,2950
"Female physicians under 35 years old","Israel",2022,3155
"Female physicians under 35 years old","Slovenia",2010,644
"Female physicians under 35 years old","Slovenia",2011,673
"Female physicians under 35 years old","Slovenia",2012,765
"Female physicians under 35 years old","Slovenia",2013,816
"Female physicians under 35 years old","Slovenia",2014,907
"Female physicians under 35 years old","Slovenia",2015,965
"Female physicians under 35 years old","Slovenia",2016,1136
"Female physicians under 35 years old","Slovenia",2017,1055
"Female physicians under 35 years old","Slovenia",2018,1104
"Female physicians under 35 years old","Slovenia",2019,1128
"Female physicians under 35 years old","Slovenia",2020,1259
"Female physicians under 35 years old","Slovenia",2021,1260
"Female physicians under 35 years old","Latvia",2010,469
"Female physicians under 35 years old","Latvia",2011,475
"Female physicians under 35 years old","Latvia",2012,485
"Female physicians under 35 years old","Latvia",2013,542
"Female physicians under 35 years old","Latvia",2014,618
"Female physicians under 35 years old","Latvia",2015,683
"Female physicians under 35 years old","Latvia",2016,741
"Female physicians under 35 years old","Latvia",2017,795
"Female physicians under 35 years old","Latvia",2018,962
"Female physicians under 35 years old","Latvia",2019,983
"Female physicians under 35 years old","Latvia",2020,1041
"Female physicians under 35 years old","Latvia",2021,1072
"Female physicians under 35 years old","Lithuania",2010,1600
"Female physicians under 35 years old","Lithuania",2011,1792
"Female physicians under 35 years old","Lithuania",2012,1995
"Female physicians under 35 years old","Lithuania",2013,1981
"Female physicians under 35 years old","Lithuania",2014,2133
"Female physicians under 35 years old","Lithuania",2015,2313
"Female physicians under 35 years old","Lithuania",2016,2394
"Female physicians under 35 years old","Lithuania",2017,2398
"Female physicians under 35 years old","Lithuania",2018,2132
"Female physicians under 35 years old","Lithuania",2019,2145
"Female physicians under 35 years old","Lithuania",2020,2224
"Female physicians under 35 years old","Lithuania",2021,2325
"Female physicians under 35 years old","Colombia",2016,13493
"Female physicians under 35 years old","Colombia",2017,16767
"Female physicians under 35 years old","Colombia",2018,20332
"Female physicians under 35 years old","Colombia",2019,24004
"Female physicians under 35 years old","Colombia",2020,27522
"Female physicians under 35 years old","Colombia",2021,28393
"Female physicians under 35 years old","Croatia",2010,1592
"Female physicians under 35 years old","Croatia",2011,1739
"Female physicians under 35 years old","Croatia",2012,1808
"Female physicians under 35 years old","Croatia",2013,1854
"Female physicians under 35 years old","Croatia",2014,1870
"Female physicians under 35 years old","Croatia",2015,2151
"Female physicians under 35 years old","Croatia",2016,2169
"Female physicians under 35 years old","Croatia",2017,2325
"Female physicians under 35 years old","Croatia",2018,2448
"Female physicians under 35 years old","Croatia",2019,2524
"Female physicians under 35 years old","Croatia",2020,2482
"Female physicians under 35 years old","Croatia",2021,2607
"Female physicians under 35 years old","Romania",2010,11040
"Female physicians under 35 years old","Romania",2011,11115
"Female physicians under 35 years old","Romania",2012,11183
"Female physicians under 35 years old","Romania",2013,10839
"Female physicians under 35 years old","Romania",2014,11056
"Female physicians under 35 years old","Romania",2015,11586
"Female physicians under 35 years old","Romania",2016,11956
"Female physicians under 35 years old","Romania",2017,12531
"Female physicians under 35 years old","Romania",2018,13503
"Female physicians under 35 years old","Romania",2019,14563
"Female physicians under 35 years old","Romania",2020,15909
"Female physicians under 35 years old","Romania",2021,16832
"Female physicians under 35 years old","Bulgaria",2014,1262
"Female physicians under 35 years old","Bulgaria",2015,1565
"Female physicians under 35 years old","Bulgaria",2016,1909
"Female physicians under 35 years old","Bulgaria",2017,2095
"Female physicians under 35 years old","Bulgaria",2018,2160
"Female physicians under 35 years old","Bulgaria",2019,2312
"Female physicians under 35 years old","Bulgaria",2020,2601
"Female physicians under 35 years old","Bulgaria",2021,2809
